ID,Text,Specific_Sentiment,General_Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,Enjoying a beautiful day at the park!,Positive,Joy/Happiness,1/15/2023 12:30,User123,Twitter,#Nature #Park,15,30,USA,2023,1,15,12
1,Traffic was terrible this morning.,Negative,Sadness,1/15/2023 8:45,CommuterX,Twitter,#Traffic #Morning,5,10,Canada,2023,1,15,8
2,Just finished an amazing workout! 💪,Positive,Joy/Happiness,1/15/2023 15:45,FitnessFan,Instagram,#Fitness #Workout,20,40,USA,2023,1,15,15
3,Excited about the upcoming weekend getaway!,Positive,Joy/Happiness,1/15/2023 18:20,AdventureX,Facebook,#Travel #Adventure,8,15,UK,2023,1,15,18
4,Trying out a new recipe for dinner tonight.,Neutral,Neutral/Calm,1/15/2023 19:55,ChefCook,Instagram,#Cooking #Food,12,25,Australia,2023,1,15,19
5,Feeling grateful for the little things in life.,Positive,Joy/Happiness,1/16/2023 9:10,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25,50,India,2023,1,16,9
6,Rainy days call for cozy blankets and hot cocoa.,Positive,Joy/Happiness,1/16/2023 14:45,RainyDays,Facebook,#RainyDays #Cozy,10,20,Canada,2023,1,16,14
7,The new movie release is a must-watch!,Positive,Joy/Happiness,1/16/2023 19:30,MovieBuff,Instagram,#MovieNight #MustWatch,15,30,USA,2023,1,16,19
8,Political discussions heating up on the timeline.,Negative,Sadness,1/17/2023 8:00,DebateTalk,Twitter,#Politics #Debate,30,60,USA,2023,1,17,8
9,Missing summer vibes and beach days.,Neutral,Neutral/Calm,1/17/2023 12:20,BeachLover,Facebook,#Summer #BeachDays,18,35,Australia,2023,1,17,12
10,Just published a new blog post. Check it out!,Positive,Joy/Happiness,1/17/2023 15:15,BloggerX,Instagram,#Blogging #NewPost,22,45,USA,2023,1,17,15
11,Feeling a bit under the weather today.,Negative,Sadness,1/18/2023 10:30,WellnessCheck,Twitter,#SickDay #Health,7,15,Canada,2023,1,18,10
